BioSample,LibraryName,Run,Organism,BioProject,refGenome
SAMN03351924,101S_dna,SRR2065172,Capsella grandiflora,PRJNA275635,GCA_000375325.1
SAMN03351900,103K_dna,SRR2065174,Capsella grandiflora,PRJNA275635,GCA_000375325.1
SAMN03351946,106A_dna,SRR2065176,Capsella grandiflora,PRJNA275635,GCA_000375325.1
SAMN03351929,107B_dna,SRR2065177,Capsella grandiflora,PRJNA275635,GCA_000375325.1
SAMN03351963,109E_dna,SRR2065180,Capsella grandiflora,PRJNA275635,GCA_000375325.1
SAMN03351958,111C_dna_1,SRR2065183,Capsella grandiflora,PRJNA275635,GCA_000375325.1
SAMN03351898,112H_dna,SRR2065185,Capsella grandiflora,PRJNA275635,GCA_000375325.1
SAMN03351916,113A_dna,SRR2065186,Capsella grandiflora,PRJNA275635,GCA_000375325.1
SAMN03351882,11G_dna,SRR2065191,Capsella grandiflora,PRJNA275635,GCA_000375325.1
SAMN03351965,140S_dna,SRR2065209,Capsella grandiflora,PRJNA275635,GCA_000375325.1
